bool                                             |logical
int                                              |integer
uint                                             |integer
short                                            |integer
ushort                                           |integer
QDBusServiceWatcher                              |QObject  |QtDBus
QDebug                                           |object   |QtCore
QDeclarativeComponent                            |QObject  |QtDeclarative
QDeclarativeComponent::Status                    |enum     |QtDeclarative
QDeclarativeContext                              |QObject  |QtDeclarative
QDeclarativeEngine                               |QObject  |QtDeclarative
QDeclarativeEngine::ObjectOwnership              |enum     |QtDeclarative
QDeclarativeError                                |object   |QtDeclarative
QDeclarativeExpression                           |QObject  |QtDeclarative
QDeclarativeExtensionPlugin                      |QObject  |QtDeclarative
QDeclarativeImageProvider                        |object   |QtDeclarative
QDeclarativeImageProvider::ImageType             |enum     |QtDeclarative
QDeclarativeItem                                 |QObject  |QtDeclarative
QDeclarativeItem::TransformOrigin                |enum     |QtDeclarative
QDeclarativeListReference                        |object   |QtDeclarative
QDeclarativeNetworkAccessManagerFactory          |object   |QtDeclarative
QDeclarativeParserStatus                         |object   |QtDeclarative
QDeclarativeProperty                             |object   |QtDeclarative
QDeclarativeProperty::PropertyTypeCategory       |enum     |QtDeclarative
QDeclarativeProperty::Type                       |enum     |QtDeclarative
QDeclarativePropertyMap                          |QObject  |QtDeclarative
QDeclarativePropertyValueSource                  |object   |QtDeclarative
QDeclarativeScriptString                         |object   |QtDeclarative
QDeclarativeView                                 |QObject  |QtDeclarative
QDeclarativeView::ResizeMode                     |enum     |QtDeclarative
QDeclarativeView::Status                         |enum     |QtDeclarative
QDecoration                                      |object   |QtGui
QDecoration::DecorationState                     |enum     |QtGui
QDecorationDefault                               |object   |QtGui
QDecorationFactory                               |object   |QtGui
QDecorationPlugin                                |QObject  |QtGui
QDesignerActionEditorInterface                   |QObject  |QtDesigner
QDesignerContainerExtension                      |object   |QtDesigner
QDesignerCustomWidgetCollectionInterface         |object   |QtDesigner
QDesignerCustomWidgetInterface                   |interface|QtDesigner
QDesignerDynamicPropertySheetExtension           |object   |QtDesigner
QDesignerFormEditorInterface                     |QObject  |QtDesigner
QDesignerFormWindowCursorInterface               |object   |QtDesigner
QDesignerFormWindowCursorInterface::MoveMode     |enum     |QtDesigner
QDesignerFormWindowCursorInterface::MoveOperation|enum     |QtDesigner
QDesignerFormWindowInterface                     |QWidget  |QtDesigner
QDesignerFormWindowInterface::Feature            |enum     |QtDesigner
QDesignerFormWindowManagerInterface              |QObject  |QtDesigner
QDesignerMemberSheetExtension                    |object   |QtDesigner
QDesignerObjectInspectorInterface                |QObject  |QtDesigner
QDesignerPropertyEditorInterface                 |QObject  |QtDesigner
QDesignerPropertySheetExtension                  |object   |QtDesigner
QDesignerTaskMenuExtension                       |object   |QtDesigner
QDesignerWidgetBoxInterface                      |QObject  |QtDesigner
QDesktopServices                                 |object   |QtGui
QDesktopServices::StandardLocation               |enum     |QtGui
QDesktopWidget                                   |QObject  |QtGui
QDial                                            |QObject  |QtGui
QDialog                                          |QObject  |QtGui
QDialogButtonBox                                 |QObject  |QtGui
QDialogButtonBox::ButtonRole                     |enum     |QtGui
QDialogButtonBox::StandardButton                 |enum     |QtGui
QDialogButtonBox::StandardButtons                |enum     |QtGui
QDir                                             |object   |QtCore
QDir::Filters                                    |enum     |QtCore
QDir::IteratorFlags                              |enum     |QtCore
QDir::SortFlags                                  |enum     |QtCore
QDirectPainter                                   |QObject  |QtGui
QDirectPainter::SurfaceFlag                      |enum     |QtGui
QDirIterator                                     |object   |QtCore
QDirIterator::IteratorFlags                      |enum     |QtCore
QDirModel                                        |QObject  |QtGui
QDockWidget                                      |QObject  |QtGui
QDockWidget::DockWidgetFeatures                  |enum     |QtGui
QDomAttr                                         |object   |QtXml
QDomCDATASection                                 |object   |QtXml
QDomCharacterData                                |object   |QtXml
QDomComment                                      |object   |QtXml
QDomDocument                                     |object   |QtXml
QDomDocumentFragment                             |object   |QtXml
QDomDocumentType                                 |object   |QtXml
QDomElement                                      |object   |QtXml
QDomEntity                                       |object   |QtXml
QDomEntityReference                              |object   |QtXml
QDomImplementation                               |object   |QtXml
QDomImplementation::InvalidDataPolicy            |enum     |QtXml
